,Borough,Latitude,Longitude,Neighborhood,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,11th Most Common Venue,12th Most Common Venue,13th Most Common Venue,14th Most Common Venue,15th Most Common Venue,16th Most Common Venue,17th Most Common Venue,18th Most Common Venue,19th Most Common Venue,20th Most Common Venue,21th Most Common Venue,22th Most Common Venue,23th Most Common Venue,24th Most Common Venue,25th Most Common Venue,26th Most Common Venue,27th Most Common Venue,28th Most Common Venue,29th Most Common Venue,30th Most Common Venue,31th Most Common Venue,32th Most Common Venue,33th Most Common Venue,34th Most Common Venue,35th Most Common Venue,36th Most Common Venue,37th Most Common Venue,38th Most Common Venue,39th Most Common Venue,40th Most Common Venue,41th Most Common Venue,42th Most Common Venue,43th Most Common Venue,44th Most Common Venue,45th Most Common Venue,46th Most Common Venue,47th Most Common Venue,48th Most Common Venue,49th Most Common Venue,50th Most Common Venue
10,H4B ,45.4679674,-73.6289223, Notre-Dame-de-Grâce South west,6,Café,Grocery Store,Mexican Restaurant,Sporting Goods Shop,Bistro,Sandwich Place,Pharmacy,Mac & Cheese Joint,Tea Room,Park,Bakery,Athletics & Sports,Asian Restaurant,Pizza Place,University,Vegetarian / Vegan Restaurant,Gym,Food & Drink Shop,Dumpling Restaurant,Dim Sum Restaurant,Drugstore,Empanada Restaurant,Dive Bar,Discount Store,Diner,Yoga Studio,Dessert Shop,Department Store,Deli / Bodega,Currency Exchange,Curling Ice,Cupcake Shop,Cuban Restaurant,Creperie,Coworking Space,Cycle Studio,Farmers Market,English Restaurant,Furniture / Home Store,Greek Restaurant,Gourmet Shop,Golf Course,Gift Shop,German Restaurant,Gastropub,Gas Station,Gaming Cafe,Fried Chicken Joint,Event Space,French Restaurant
11,H5B ,45.507423700000004,-73.5644547155236, Place Desjardins,6,Chinese Restaurant,Hotel,Vietnamese Restaurant,Asian Restaurant,Restaurant,Concert Hall,Café,Plaza,Bakery,Performing Arts Venue,Dessert Shop,Dim Sum Restaurant,Coffee Shop,Bubble Tea Shop,Cocktail Bar,French Restaurant,Noodle House,Comedy Club,Pharmacy,Opera House,Peruvian Restaurant,Public Art,Yoga Studio,Music Venue,Movie Theater,Mongolian Restaurant,Lounge,Liquor Store,Korean Restaurant,Dumpling Restaurant,Japanese Restaurant,Italian Restaurant,Gastropub,Gourmet Shop,Men's Store,Pizza Place,Art Gallery,Tea Room,Boxing Gym,Breakfast Spot,Art Museum,Bar,Shabu-Shabu Restaurant,Taco Place,Vegetarian / Vegan Restaurant,Diner,Discount Store,Baseball Field,Dive Bar,Event Space
12,H7B ,47.0018865,-70.8129222, Saint-François,6,Coffee Shop,Ice Cream Shop,Campground,Yoga Studio,Diner,Farm,Falafel Restaurant,Event Space,English Restaurant,Empanada Restaurant,Dumpling Restaurant,Drugstore,Dive Bar,Discount Store,Dim Sum Restaurant,Fast Food Restaurant,Dessert Shop,Department Store,Deli / Bodega,Cycle Studio,Currency Exchange,Curling Ice,Cupcake Shop,Cuban Restaurant,Creperie,Farmers Market,Filipino Restaurant,Cosmetics Shop,Fish & Chips Shop,Hawaiian Restaurant,Hardware Store,Harbor / Marina,Gym Pool,Gym / Fitness Center,Gym,Grocery Store,Greek Restaurant,Gourmet Shop,Golf Course,Gift Shop,German Restaurant,Gastropub,Gas Station,Gaming Cafe,Furniture / Home Store,Fried Chicken Joint,French Restaurant,Food Truck,Food & Drink Shop,Food
13,H9B ,45.48423,-73.8064547, Dollard-des-Ormeaux East,6,Skating Rink,Italian Restaurant,BBQ Joint,Fast Food Restaurant,Deli / Bodega,Thai Restaurant,Park,Food & Drink Shop,Bakery,Restaurant,Shopping Mall,Greek Restaurant,Grocery Store,Burger Joint,Mexican Restaurant,Gym Pool,Empanada Restaurant,Dumpling Restaurant,Drugstore,Dive Bar,Discount Store,Yoga Studio,Department Store,Diner,Dim Sum Restaurant,Dessert Shop,Event Space,Cycle Studio,Currency Exchange,Curling Ice,Cupcake Shop,Cuban Restaurant,Creperie,English Restaurant,Farmers Market,Falafel Restaurant,Farm,Gym / Fitness Center,Gym,Gourmet Shop,Golf Course,Gift Shop,German Restaurant,Gastropub,Gas Station,Gaming Cafe,Furniture / Home Store,Fried Chicken Joint,French Restaurant,Food Truck
14,H1C ,45.6679644,-73.53685698747795, Rivière-des-Prairies North east,1,Construction & Landscaping,Bus Stop,Diner,Farm,Falafel Restaurant,Event Space,English Restaurant,Empanada Restaurant,Dumpling Restaurant,Drugstore,Dive Bar,Discount Store,Dim Sum Restaurant,Convenience Store,Dessert Shop,Department Store,Deli / Bodega,Cycle Studio,Currency Exchange,Curling Ice,Cupcake Shop,Cuban Restaurant,Creperie,Coworking Space,Farmers Market,Fast Food Restaurant,Filipino Restaurant,Fish & Chips Shop,Hawaiian Restaurant,Hardware Store,Harbor / Marina,Gym Pool,Gym / Fitness Center,Gym,Grocery Store,Greek Restaurant,Gourmet Shop,Golf Course,Gift Shop,German Restaurant,Gastropub,Gas Station,Gaming Cafe,Furniture / Home Store,Fried Chicken Joint,French Restaurant,Food Truck,Food & Drink Shop,Food,Cosmetics Shop
15,H2C ,45.55930765,-73.65270165067771, Ahuntsic Central,6,Café,Restaurant,Plaza,Vietnamese Restaurant,Pharmacy,Hardware Store,Coffee Shop,Furniture / Home Store,Breakfast Spot,Ice Cream Shop,Fast Food Restaurant,Sausage Shop,Yoga Studio,Discount Store,Dive Bar,Dim Sum Restaurant,Drugstore,Dumpling Restaurant,Diner,Department Store,Dessert Shop,English Restaurant,Deli / Bodega,Cycle Studio,Currency Exchange,Curling Ice,Cupcake Shop,Cuban Restaurant,Creperie,Empanada Restaurant,Farm,Event Space,Falafel Restaurant,Gym Pool,Gym / Fitness Center,Gym,Grocery Store,Greek Restaurant,Gourmet Shop,Golf Course,Gift Shop,German Restaurant,Gastropub,Gas Station,Gaming Cafe,Fried Chicken Joint,French Restaurant,Food Truck,Food & Drink Shop,Food
16,H3C ,45.48989745,-73.56302767077126, Griffintown,6,Restaurant,Italian Restaurant,Sushi Restaurant,Brewery,Gym,Supermarket,Seafood Restaurant,Sandwich Place,Café,Fried Chicken Joint,Middle Eastern Restaurant,Pub,Climbing Gym,Gym / Fitness Center,Pie Shop,Pharmacy,French Restaurant,Shoe Store,Tapas Restaurant,Bank,BBQ Joint,Bakery,Thrift / Vintage Store,Gastropub,Gas Station,Greek Restaurant,Department Store,Creperie,Discount Store,Diner,Dim Sum Restaurant,Dessert Shop,Cuban Restaurant,Gift Shop,Grocery Store,Cupcake Shop,Deli / Bodega,Cycle Studio,German Restaurant,Gourmet Shop,Currency Exchange,Curling Ice,Golf Course,Dive Bar,Furniture / Home Store,Drugstore,Gaming Cafe,Food Truck,Food & Drink Shop,Food
17,H4C ,46.692077,-71.067123, Saint-Henri,4,Baseball Field,Home Service,Pharmacy,Skating Rink,Creperie,Diner,Farm,Falafel Restaurant,Event Space,English Restaurant,Empanada Restaurant,Dumpling Restaurant,Drugstore,Dive Bar,Discount Store,Dim Sum Restaurant,Cuban Restaurant,Dessert Shop,Farmers Market,Department Store,Deli / Bodega,Cycle Studio,Currency Exchange,Curling Ice,Coworking Space,Cupcake Shop,Yoga Studio,Fast Food Restaurant,Convenience Store,Filipino Restaurant,Hardware Store,Harbor / Marina,Gym Pool,Gym / Fitness Center,Gym,Grocery Store,Greek Restaurant,Gourmet Shop,Golf Course,Gift Shop,German Restaurant,Gastropub,Gas Station,Gaming Cafe,Furniture / Home Store,Fried Chicken Joint,French Restaurant,Food Truck,Food & Drink Shop,Food
18,H7C ,45.6146951,-73.6461458, Saint-Vincent-de-Paul,6,Breakfast Spot,Park,Hockey Arena,Italian Restaurant,Diner,Farm,Falafel Restaurant,Event Space,English Restaurant,Empanada Restaurant,Dumpling Restaurant,Drugstore,Dive Bar,Discount Store,Yoga Studio,Dim Sum Restaurant,Fast Food Restaurant,Dessert Shop,Department Store,Deli / Bodega,Cycle Studio,Currency Exchange,Curling Ice,Cupcake Shop,Cuban Restaurant,Creperie,Farmers Market,Fish & Chips Shop,Filipino Restaurant,Gift Shop,Hardware Store,Harbor / Marina,Gym Pool,Gym / Fitness Center,Gym,Grocery Store,Greek Restaurant,Gourmet Shop,Golf Course,German Restaurant,Cosmetics Shop,Gastropub,Gas Station,Gaming Cafe,Furniture / Home Store,Fried Chicken Joint,French Restaurant,Food Truck,Food & Drink Shop,Food
20,H1E ,45.6679644,-73.53685698747795, Rivière-des-Prairies South west,1,Construction & Landscaping,Bus Stop,Diner,Farm,Falafel Restaurant,Event Space,English Restaurant,Empanada Restaurant,Dumpling Restaurant,Drugstore,Dive Bar,Discount Store,Dim Sum Restaurant,Convenience Store,Dessert Shop,Department Store,Deli / Bodega,Cycle Studio,Currency Exchange,Curling Ice,Cupcake Shop,Cuban Restaurant,Creperie,Coworking Space,Farmers Market,Fast Food Restaurant,Filipino Restaurant,Fish & Chips Shop,Hawaiian Restaurant,Hardware Store,Harbor / Marina,Gym Pool,Gym / Fitness Center,Gym,Grocery Store,Greek Restaurant,Gourmet Shop,Golf Course,Gift Shop,German Restaurant,Gastropub,Gas Station,Gaming Cafe,Furniture / Home Store,Fried Chicken Joint,French Restaurant,Food Truck,Food & Drink Shop,Food,Cosmetics Shop
21,H2E ,45.558557050000005,-73.61199601529296, Villeray North east,0,Park,Pizza Place,Diner,Restaurant,Theater,Department Store,English Restaurant,Empanada Restaurant,Dumpling Restaurant,Drugstore,Dive Bar,Discount Store,Dim Sum Restaurant,Dessert Shop,Yoga Studio,Deli / Bodega,Falafel Restaurant,Cycle Studio,Currency Exchange,Curling Ice,Cupcake Shop,Cuban Restaurant,Creperie,Coworking Space,Cosmetics Shop,Event Space,Farm,Construction & Landscaping,Gastropub,Harbor / Marina,Gym Pool,Gym / Fitness Center,Gym,Grocery Store,Greek Restaurant,Gourmet Shop,Golf Course,Gift Shop,German Restaurant,Gas Station,Farmers Market,Gaming Cafe,Furniture / Home Store,Fried Chicken Joint,French Restaurant,Food Truck,Food & Drink Shop,Food,Fish & Chips Shop,Filipino Restaurant
22,H3E ,45.4603625,-73.5459632, LÎle-Des-Soeurs,13,Park,Playground,Mediterranean Restaurant,Yoga Studio,Dim Sum Restaurant,Falafel Restaurant,Event Space,English Restaurant,Empanada Restaurant,Dumpling Restaurant,Drugstore,Dive Bar,Discount Store,Diner,Dessert Shop,Farmers Market,Department Store,Deli / Bodega,Cycle Studio,Currency Exchange,Curling Ice,Cupcake Shop,Cuban Restaurant,Creperie,Coworking Space,Farm,Fast Food Restaurant,Health Food Store,Filipino Restaurant,Hardware Store,Harbor / Marina,Gym Pool,Gym / Fitness Center,Gym,Grocery Store,Greek Restaurant,Gourmet Shop,Golf Course,Gift Shop,German Restaurant,Gastropub,Gas Station,Gaming Cafe,Furniture / Home Store,Fried Chicken Joint,French Restaurant,Food Truck,Food & Drink Shop,Food,Fish & Chips Shop
23,H4E ,45.4557559,-73.5966635, Ville Émard,4,Park,Grocery Store,Coffee Shop,Breakfast Spot,Sandwich Place,Italian Restaurant,Pharmacy,Convenience Store,Comedy Club,Curling Ice,English Restaurant,Empanada Restaurant,Creperie,Dumpling Restaurant,Drugstore,Dive Bar,Discount Store,Cuban Restaurant,Diner,Dim Sum Restaurant,Dessert Shop,Department Store,Falafel Restaurant,Deli / Bodega,Cycle Studio,Cupcake Shop,Currency Exchange,Event Space,Yoga Studio,Farm,Coworking Space,Harbor / Marina,Gym Pool,Gym / Fitness Center,Gym,Greek Restaurant,Gourmet Shop,Golf Course,Gift Shop,German Restaurant,Gastropub,Gas Station,Gaming Cafe,Furniture / Home Store,Fried Chicken Joint,French Restaurant,Food Truck,Food & Drink Shop,Food,Fish & Chips Shop
24,H7E ,45.5935503,-73.6699909, Duvernay,6,Pharmacy,Bank,Coffee Shop,Fast Food Restaurant,Sushi Restaurant,French Restaurant,Supermarket,Sandwich Place,Breakfast Spot,Convenience Store,Gym / Fitness Center,Shopping Mall,Liquor Store,Dumpling Restaurant,Empanada Restaurant,Drugstore,Dive Bar,Discount Store,Diner,Dim Sum Restaurant,Event Space,Dessert Shop,Department Store,Deli / Bodega,Cycle Studio,Currency Exchange,Curling Ice,Cupcake Shop,Cuban Restaurant,Creperie,Coworking Space,English Restaurant,Yoga Studio,Falafel Restaurant,Farm,Gym Pool,Gym,Grocery Store,Greek Restaurant,Gourmet Shop,Golf Course,Gift Shop,German Restaurant,Gastropub,Gas Station,Gaming Cafe,Furniture / Home Store,Fried Chicken Joint,Food Truck,Food & Drink Shop
25,H9E ,45.4950421,-73.90344498268641, LÎle-Bizard South west,14,Golf Course,Yoga Studio,Dessert Shop,Falafel Restaurant,Event Space,English Restaurant,Empanada Restaurant,Dumpling Restaurant,Drugstore,Dive Bar,Discount Store,Diner,Dim Sum Restaurant,Department Store,Farmers Market,Deli / Bodega,Cycle Studio,Currency Exchange,Curling Ice,Cupcake Shop,Cuban Restaurant,Creperie,Coworking Space,Cosmetics Shop,Farm,Fast Food Restaurant,Historic Site,Filipino Restaurant,Hawaiian Restaurant,Hardware Store,Harbor / Marina,Gym Pool,Gym / Fitness Center,Gym,Grocery Store,Greek Restaurant,Gourmet Shop,Gift Shop,German Restaurant,Gastropub,Gas Station,Gaming Cafe,Furniture / Home Store,Fried Chicken Joint,French Restaurant,Food Truck,Food & Drink Shop,Food,Fish & Chips Shop,Convenience Store
26,H1G ,45.5938992,-73.6376062, Montréal-Nord North,2,Fast Food Restaurant,Gas Station,Dim Sum Restaurant,Falafel Restaurant,Event Space,English Restaurant,Empanada Restaurant,Dumpling Restaurant,Drugstore,Dive Bar,Discount Store,Diner,Dessert Shop,Farmers Market,Department Store,Deli / Bodega,Cycle Studio,Currency Exchange,Curling Ice,Cupcake Shop,Cuban Restaurant,Creperie,Coworking Space,Cosmetics Shop,Farm,Yoga Studio,Historic Site,Filipino Restaurant,Hawaiian Restaurant,Hardware Store,Harbor / Marina,Gym Pool,Gym / Fitness Center,Gym,Grocery Store,Greek Restaurant,Gourmet Shop,Golf Course,Gift Shop,German Restaurant,Gastropub,Gaming Cafe,Furniture / Home Store,Fried Chicken Joint,French Restaurant,Food Truck,Food & Drink Shop,Food,Fish & Chips Shop,Convenience Store
27,H2G ,45.5507465,-73.5822897, Petite-Patrie North east,4,Grocery Store,Shopping Plaza,Pizza Place,Pharmacy,Ice Cream Shop,Sandwich Place,Yoga Studio,Dim Sum Restaurant,English Restaurant,Empanada Restaurant,Dumpling Restaurant,Drugstore,Dive Bar,Discount Store,Diner,Deli / Bodega,Dessert Shop,Department Store,Falafel Restaurant,Cycle Studio,Currency Exchange,Curling Ice,Cupcake Shop,Cuban Restaurant,Creperie,Coworking Space,Event Space,Farm,Convenience Store,Farmers Market,Harbor / Marina,Gym Pool,Gym / Fitness Center,Gym,Greek Restaurant,Gourmet Shop,Golf Course,Gift Shop,German Restaurant,Gastropub,Gas Station,Gaming Cafe,Furniture / Home Store,Fried Chicken Joint,French Restaurant,Food Truck,Food & Drink Shop,Food,Fish & Chips Shop,Filipino Restaurant
28,H3G ,45.5052895,-73.5640756, Downtown Montreal South east,6,Hotel,Café,Plaza,French Restaurant,Restaurant,Japanese Restaurant,Performing Arts Venue,Pizza Place,Building,Bubble Tea Shop,Cocktail Bar,Coffee Shop,Concert Hall,Taco Place,Yoga Studio,Theater,Bakery,Asian Restaurant,Art Museum,Dessert Shop,Hawaiian Restaurant,Peruvian Restaurant,Opera House,Park,Italian Restaurant,Hotel Bar,Dumpling Restaurant,Gourmet Shop,Pharmacy,Gastropub,Chinese Restaurant,Noodle House,Comedy Club,Cycle Studio,Music Venue,Comfort Food Restaurant,Museum,Movie Theater,Department Store,Mongolian Restaurant,Men's Store,Cupcake Shop,Lounge,Liquor Store,Korean Restaurant,Jazz Club,Cuban Restaurant,Food Truck,Public Art,Salad Place
29,H4G ,45.459078,-73.5731774, Verdun North,6,Breakfast Spot,Grocery Store,Pizza Place,Indian Restaurant,Peruvian Restaurant,Tea Room,Restaurant,Cheese Shop,Chinese Restaurant,Fish & Chips Shop,Food,French Restaurant,Sushi Restaurant,Café,Beer Store,Sandwich Place,Bank,Bakery,Pharmacy,BBQ Joint,Gastropub,Vietnamese Restaurant,Cycle Studio,Creperie,Dumpling Restaurant,Drugstore,Dive Bar,Discount Store,Curling Ice,Cuban Restaurant,Cupcake Shop,Diner,Dim Sum Restaurant,Dessert Shop,Department Store,Currency Exchange,Deli / Bodega,Yoga Studio,Empanada Restaurant,English Restaurant,Gym / Fitness Center,Gym,Greek Restaurant,Gourmet Shop,Golf Course,Gift Shop,German Restaurant,Gas Station,Gaming Cafe,Furniture / Home Store
30,H7G ,45.5572533,-73.67535420152942, Pont-Viau,6,Adult Boutique,Coffee Shop,Rental Car Location,Locksmith,Yoga Studio,Dim Sum Restaurant,Falafel Restaurant,Event Space,English Restaurant,Empanada Restaurant,Dumpling Restaurant,Drugstore,Dive Bar,Discount Store,Diner,Department Store,Dessert Shop,Farmers Market,Deli / Bodega,Cycle Studio,Currency Exchange,Curling Ice,Cupcake Shop,Cuban Restaurant,Creperie,Coworking Space,Farm,Fast Food Restaurant,Convenience Store,Filipino Restaurant,Hardware Store,Harbor / Marina,Gym Pool,Gym / Fitness Center,Gym,Grocery Store,Greek Restaurant,Gourmet Shop,Golf Course,Gift Shop,German Restaurant,Gastropub,Gas Station,Gaming Cafe,Furniture / Home Store,Fried Chicken Joint,French Restaurant,Food Truck,Food & Drink Shop,Food
31,H9G ,45.48423,-73.8064547, Dollard-des-Ormeaux South west,6,Skating Rink,Italian Restaurant,BBQ Joint,Fast Food Restaurant,Deli / Bodega,Thai Restaurant,Park,Food & Drink Shop,Bakery,Restaurant,Shopping Mall,Greek Restaurant,Grocery Store,Burger Joint,Mexican Restaurant,Gym Pool,Empanada Restaurant,Dumpling Restaurant,Drugstore,Dive Bar,Discount Store,Yoga Studio,Department Store,Diner,Dim Sum Restaurant,Dessert Shop,Event Space,Cycle Studio,Currency Exchange,Curling Ice,Cupcake Shop,Cuban Restaurant,Creperie,English Restaurant,Farmers Market,Falafel Restaurant,Farm,Gym / Fitness Center,Gym,Gourmet Shop,Golf Course,Gift Shop,German Restaurant,Gastropub,Gas Station,Gaming Cafe,Furniture / Home Store,Fried Chicken Joint,French Restaurant,Food Truck
32,H1H ,45.5938992,-73.6376062, Montréal-Nord South,2,Fast Food Restaurant,Gas Station,Dim Sum Restaurant,Falafel Restaurant,Event Space,English Restaurant,Empanada Restaurant,Dumpling Restaurant,Drugstore,Dive Bar,Discount Store,Diner,Dessert Shop,Farmers Market,Department Store,Deli / Bodega,Cycle Studio,Currency Exchange,Curling Ice,Cupcake Shop,Cuban Restaurant,Creperie,Coworking Space,Cosmetics Shop,Farm,Yoga Studio,Historic Site,Filipino Restaurant,Hawaiian Restaurant,Hardware Store,Harbor / Marina,Gym Pool,Gym / Fitness Center,Gym,Grocery Store,Greek Restaurant,Gourmet Shop,Golf Course,Gift Shop,German Restaurant,Gastropub,Gaming Cafe,Furniture / Home Store,Fried Chicken Joint,French Restaurant,Food Truck,Food & Drink Shop,Food,Fish & Chips Shop,Convenience Store
33,H2H ,45.5218361,-73.5821731, Plateau Mont-Royal North,6,Café,Bakery,French Restaurant,Bar,Portuguese Restaurant,Bookstore,Burger Joint,Coffee Shop,Japanese Restaurant,Tea Room,Breakfast Spot,Cocktail Bar,South American Restaurant,Middle Eastern Restaurant,Restaurant,Clothing Store,Health Food Store,Vegetarian / Vegan Restaurant,Hardware Store,Gaming Cafe,Record Shop,Greek Restaurant,Church,Pizza Place,Furniture / Home Store,Gym / Fitness Center,Latin American Restaurant,Jazz Club,Pet Café,Cosmetics Shop,Nightclub,Moroccan Restaurant,Indian Restaurant,Mexican Restaurant,Diner,Empanada Restaurant,Lounge,Gastropub,Salvadoran Restaurant,Toy / Game Store,Vietnamese Restaurant,Sandwich Place,Sushi Restaurant,Thai Restaurant,Bus Line,Bank,English Restaurant,Automotive Shop,BBQ Joint,Dumpling Restaurant
34,H3H ,45.5052895,-73.5640756, Downtown Montreal South west,6,Hotel,Café,Plaza,French Restaurant,Restaurant,Japanese Restaurant,Performing Arts Venue,Pizza Place,Building,Bubble Tea Shop,Cocktail Bar,Coffee Shop,Concert Hall,Taco Place,Yoga Studio,Theater,Bakery,Asian Restaurant,Art Museum,Dessert Shop,Hawaiian Restaurant,Peruvian Restaurant,Opera House,Park,Italian Restaurant,Hotel Bar,Dumpling Restaurant,Gourmet Shop,Pharmacy,Gastropub,Chinese Restaurant,Noodle House,Comedy Club,Cycle Studio,Music Venue,Comfort Food Restaurant,Museum,Movie Theater,Department Store,Mongolian Restaurant,Men's Store,Cupcake Shop,Lounge,Liquor Store,Korean Restaurant,Jazz Club,Cuban Restaurant,Food Truck,Public Art,Salad Place
35,H4H ,45.459078,-73.5731774, Verdun South,6,Breakfast Spot,Grocery Store,Pizza Place,Indian Restaurant,Peruvian Restaurant,Tea Room,Restaurant,Cheese Shop,Chinese Restaurant,Fish & Chips Shop,Food,French Restaurant,Sushi Restaurant,Café,Beer Store,Sandwich Place,Bank,Bakery,Pharmacy,BBQ Joint,Gastropub,Vietnamese Restaurant,Cycle Studio,Creperie,Dumpling Restaurant,Drugstore,Dive Bar,Discount Store,Curling Ice,Cuban Restaurant,Cupcake Shop,Diner,Dim Sum Restaurant,Dessert Shop,Department Store,Currency Exchange,Deli / Bodega,Yoga Studio,Empanada Restaurant,English Restaurant,Gym / Fitness Center,Gym,Greek Restaurant,Gourmet Shop,Golf Course,Gift Shop,German Restaurant,Gas Station,Gaming Cafe,Furniture / Home Store
36,H7H ,45.6310127,-73.7519982, Auteuil West,4,Farmers Market,Convenience Store,Coffee Shop,Grocery Store,Pharmacy,Dim Sum Restaurant,Falafel Restaurant,Event Space,English Restaurant,Empanada Restaurant,Dumpling Restaurant,Drugstore,Dive Bar,Discount Store,Diner,Yoga Studio,Dessert Shop,Farm,Deli / Bodega,Cycle Studio,Currency Exchange,Curling Ice,Cupcake Shop,Cuban Restaurant,Creperie,Coworking Space,Department Store,Fast Food Restaurant,Filipino Restaurant,Gift Shop,Hawaiian Restaurant,Hardware Store,Harbor / Marina,Gym Pool,Gym / Fitness Center,Gym,Greek Restaurant,Gourmet Shop,Golf Course,German Restaurant,Fish & Chips Shop,Gastropub,Gas Station,Gaming Cafe,Furniture / Home Store,Fried Chicken Joint,French Restaurant,Food Truck,Food & Drink Shop,Food
37,H9H ,45.4955083,-73.8471749,Pierrefonds,4,Adult Boutique,Asian Restaurant,Track,Dive Bar,Yoga Studio,Dim Sum Restaurant,Farm,Falafel Restaurant,Event Space,English Restaurant,Empanada Restaurant,Dumpling Restaurant,Drugstore,Discount Store,Diner,Department Store,Dessert Shop,Fast Food Restaurant,Deli / Bodega,Cycle Studio,Currency Exchange,Curling Ice,Cupcake Shop,Cuban Restaurant,Creperie,Coworking Space,Farmers Market,Fish & Chips Shop,Filipino Restaurant,Convenience Store,Hawaiian Restaurant,Hardware Store,Harbor / Marina,Gym Pool,Gym / Fitness Center,Gym,Grocery Store,Greek Restaurant,Gourmet Shop,Golf Course,Gift Shop,German Restaurant,Gastropub,Gas Station,Gaming Cafe,Furniture / Home Store,Fried Chicken Joint,French Restaurant,Food Truck,Food & Drink Shop
38,H1J ,45.6048982,-73.5466723, Anjou West,6,Portuguese Restaurant,Supermarket,Bus Stop,Farmers Market,Falafel Restaurant,Event Space,English Restaurant,Empanada Restaurant,Dumpling Restaurant,Drugstore,Dive Bar,Discount Store,Diner,Dim Sum Restaurant,Dessert Shop,Department Store,Deli / Bodega,Cycle Studio,Currency Exchange,Curling Ice,Cupcake Shop,Cuban Restaurant,Creperie,Coworking Space,Cosmetics Shop,Farm,Fast Food Restaurant,Construction & Landscaping,Filipino Restaurant,Hardware Store,Harbor / Marina,Gym Pool,Gym / Fitness Center,Gym,Grocery Store,Greek Restaurant,Gourmet Shop,Golf Course,Gift Shop,German Restaurant,Gastropub,Gas Station,Gaming Cafe,Furniture / Home Store,Fried Chicken Joint,French Restaurant,Food Truck,Food & Drink Shop,Food,Fish & Chips Shop
39,H2J ,45.5218361,-73.5821731, Plateau Mont-Royal North Central,6,Café,Bakery,French Restaurant,Bar,Portuguese Restaurant,Bookstore,Burger Joint,Coffee Shop,Japanese Restaurant,Tea Room,Breakfast Spot,Cocktail Bar,South American Restaurant,Middle Eastern Restaurant,Restaurant,Clothing Store,Health Food Store,Vegetarian / Vegan Restaurant,Hardware Store,Gaming Cafe,Record Shop,Greek Restaurant,Church,Pizza Place,Furniture / Home Store,Gym / Fitness Center,Latin American Restaurant,Jazz Club,Pet Café,Cosmetics Shop,Nightclub,Moroccan Restaurant,Indian Restaurant,Mexican Restaurant,Diner,Empanada Restaurant,Lounge,Gastropub,Salvadoran Restaurant,Toy / Game Store,Vietnamese Restaurant,Sandwich Place,Sushi Restaurant,Thai Restaurant,Bus Line,Bank,English Restaurant,Automotive Shop,BBQ Joint,Dumpling Restaurant
40,H3J ,45.48836645,-73.57003100632929, Petite-Bourgogne,6,Restaurant,Italian Restaurant,French Restaurant,BBQ Joint,Pub,Seafood Restaurant,Event Space,Café,Filipino Restaurant,Fried Chicken Joint,Sushi Restaurant,Tapas Restaurant,Basketball Court,Brewery,Gas Station,Thrift / Vintage Store,Gym,Creperie,Park,Gastropub,Cupcake Shop,Coworking Space,Dive Bar,Discount Store,Cuban Restaurant,Diner,Dessert Shop,Dim Sum Restaurant,Department Store,Deli / Bodega,Curling Ice,Currency Exchange,Cycle Studio,Dumpling Restaurant,Drugstore,Yoga Studio,Empanada Restaurant,Furniture / Home Store,Gym / Fitness Center,Grocery Store,Greek Restaurant,Gourmet Shop,Golf Course,Gift Shop,German Restaurant,Gaming Cafe,Food Truck,English Restaurant,Food & Drink Shop,Food
41,H4J ,45.522935000000004,-73.73728805009411, Cartierville Central,5,Park,Dim Sum Restaurant,Farm,Falafel Restaurant,Event Space,English Restaurant,Empanada Restaurant,Dumpling Restaurant,Drugstore,Dive Bar,Discount Store,Diner,Yoga Studio,Convenience Store,Dessert Shop,Department Store,Deli / Bodega,Cycle Studio,Currency Exchange,Curling Ice,Cupcake Shop,Cuban Restaurant,Creperie,Coworking Space,Farmers Market,Fast Food Restaurant,Filipino Restaurant,Fish & Chips Shop,Hawaiian Restaurant,Hardware Store,Harbor / Marina,Gym Pool,Gym / Fitness Center,Gym,Grocery Store,Greek Restaurant,Gourmet Shop,Golf Course,Gift Shop,German Restaurant,Gastropub,Gas Station,Gaming Cafe,Furniture / Home Store,Fried Chicken Joint,French Restaurant,Food Truck,Food & Drink Shop,Food,Cosmetics Shop
42,H7J ,45.6310127,-73.7519982, Auteuil North east,4,Farmers Market,Convenience Store,Coffee Shop,Grocery Store,Pharmacy,Dim Sum Restaurant,Falafel Restaurant,Event Space,English Restaurant,Empanada Restaurant,Dumpling Restaurant,Drugstore,Dive Bar,Discount Store,Diner,Yoga Studio,Dessert Shop,Farm,Deli / Bodega,Cycle Studio,Currency Exchange,Curling Ice,Cupcake Shop,Cuban Restaurant,Creperie,Coworking Space,Department Store,Fast Food Restaurant,Filipino Restaurant,Gift Shop,Hawaiian Restaurant,Hardware Store,Harbor / Marina,Gym Pool,Gym / Fitness Center,Gym,Greek Restaurant,Gourmet Shop,Golf Course,German Restaurant,Fish & Chips Shop,Gastropub,Gas Station,Gaming Cafe,Furniture / Home Store,Fried Chicken Joint,French Restaurant,Food Truck,Food & Drink Shop,Food
